timestamp,operation,controller,details,username,status
Tue May 21 01:10:31 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,OK
Tue May 21 01:10:31 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 01:10:31 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 01:12:08 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,bogdan,OK
Tue May 21 01:12:08 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Tue May 21 01:12:08 EEST 2019,READ,controller.PatientController,Patient reads his data,bogdan,OK
Tue May 21 01:12:08 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 01:12:20 EEST 2019,UPDATE,controller.PatientController,Patient sends request to medic with id=1,bogdan,OK
Tue May 21 01:12:29 EEST 2019,READ,controller.MedicController,User reads all medics with specialization=cardio,,OK
Tue May 21 01:12:34 EEST 2019,READ,controller.MedicController,User reads all medics with specialization=neuro,,OK
Tue May 21 01:12:48 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,patient1,OK
Tue May 21 01:12:48 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 01:12:48 EEST 2019,READ,controller.PatientController,Patient reads his data,patient1,OK
Tue May 21 01:12:48 EEST 2019,READ,controller.MedicController,User reads all medics,,OK
Tue May 21 01:12:48 EEST 2019,READ,controller.MedicController,User reads medic with id=1,,OK
Tue May 21 01:12:48 EEST 2019,READ,controller.CaseController,Read case with id=1,patient1,OK
Tue May 21 01:12:48 EEST 2019,READ,controller.CaseController,Read case with id=4,patient1,OK
Tue May 21 01:13:19 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic1,OK
Tue May 21 01:13:19 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 01:13:19 EEST 2019,READ,controller.MedicController,Medic reads his data,medic1,OK
Tue May 21 01:31:02 EEST 2019,AUTHENTICATE,controller.AuthenticationController,User tries to login,medic2,OK
Tue May 21 01:31:02 EEST 2019,READ,controller.MedicController,Medic reads his data,medic2,OK
Tue May 21 01:31:02 EEST 2019,READ,controller.MedicController,Medic reads his data,medic2,OK
Tue May 21 01:31:02 EEST 2019,READ,controller.MedicController,Medic reads his patient requests,medic2,OK
Tue May 21 01:31:02 EEST 2019,READ,controller.MedicController,Medic reads his data,medic2,OK
Tue May 21 01:31:02 EEST 2019,READ,controller.CaseController,Read case with id=1,medic2,OK
